DepartureAirportName,ArrivalAirportName,Duration,CompanyName,EconomyClassPrice,BusinessClassPrice,FirstClassPrice,WeekDaysOfFlight,DepartureHours,,
Domodedovo International Airport,Belgorod International Airport,493,International Airlines Group,238,1066,3940,Tuesday Wednesday Thursday Friday,13:49 06:51 03:20,,
Domodedovo International Airport,Belgorod International Airport,404,Azur Air,755,856,3137,Wednesday Thursday Saturday Sunday,19:25 00:31 11:58,,
Domodedovo International Airport,Belgorod International Airport,386,Luxair,97,2126,3216,Wednesday Friday Saturday Sunday,10:40 17:41 17:16,,
Domodedovo International Airport,Belgorod International Airport,337,UTair Aviation,113,2671,3169,Monday Saturday Sunday,20:26 20:13 07:09,,
Domodedovo International Airport,Belgorod International Airport,406,Yamal Airlines,51,1026,2429,Wednesday Thursday,03:06 22:48 14:32,,
Glasgow International Airport,Belgorod International Airport,148,SkyUp,785,2469,3456,Monday Tuesday,10:52 05:53 14:32,,
Glasgow International Airport,Belgorod International Airport,489,Pegasus Airlines,732,2928,4293,Tuesday Wednesday Sunday,23:26 12:19 23:29,,
Glasgow International Airport,Belgorod International Airport,349,Smartavia,707,2337,1707,Tuesday Wednesday Friday Saturday Sunday,11:56 10:56 21:43,,
Il Caravaggio International Airport,Belgorod International Airport,163,Air Malta,294,1576,2417,Monday Saturday,10:48 19:16,,
Il Caravaggio International Airport,Belgorod International Airport,490,Jet2.com,645,1109,2504,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,07:50,,
Il Caravaggio International Airport,Belgorod International Airport,187,International Airlines Group,578,1402,2444,Tuesday Wednesday Saturday,12:38 20:03 21:16,,
Il Caravaggio International Airport,Belgorod International Airport,226,SkyUp,379,2394,4190,Monday Thursday Saturday Sunday,12:23 19:49,,
Il Caravaggio International Airport,Belgorod International Airport,401,Ural Airlines,370,1519,2167,Tuesday Wednesday Saturday,10:01 20:34 22:30,,
Il Caravaggio International Airport,Belgorod International Airport,328,UTair Aviation,317,2287,4163,Monday Thursday Friday Saturday Sunday,02:16 08:08 21:32,,
Ioannis Kapodistrias International Airport,Belgorod International Airport,78,Volotea,636,1589,2226,Monday Tuesday Saturday Sunday,20:16,,
Ioannis Kapodistrias International Airport,Belgorod International Airport,127,Red Wings Airlines,126,1050,2927,Tuesday Wednesday Thursday Friday,10:36 00:19,,
Ioannis Kapodistrias International Airport,Belgorod International Airport,313,Pegas Fly,830,748,1791,Monday Tuesday Friday Saturday Sunday,01:30 04:43,,
Ioannis Kapodistrias International Airport,Belgorod International Airport,478,SkyUp,261,897,2746,Tuesday Wednesday,05:02 11:08 02:16,,
Ioannis Kapodistrias International Airport,Belgorod International Airport,326,Ukraine International Airlines,291,2682,2819,Monday Wednesday Thursday Friday Saturday,15:13 23:57 18:47,,
Ioannis Kapodistrias International Airport,Belgorod International Airport,482,Virgin Atlantic,828,1380,3263,Monday Saturday Sunday,03:02 23:45 19:26,,
Kaunas International Airport,Belgorod International Airport,202,Belavia,279,1648,1538,Monday Sunday,05:26 23:28 00:03,,
Kaunas International Airport,Belgorod International Airport,454,Azur Air,295,1229,1582,Wednesday Thursday Sunday,16:26 06:18 08:16,,
Kaunas International Airport,Belgorod International Airport,480,Air Astana,775,1441,1955,Monday Tuesday Thursday,12:22 04:34 18:14,,
Kaunas International Airport,Belgorod International Airport,481,Red Wings Airlines,892,2468,2914,Tuesday Saturday Sunday,12:21 09:40,,
Kaunas International Airport,Belgorod International Airport,308,Smartavia,802,2458,2414,Monday Tuesday Thursday Friday Saturday Sunday,17:17 22:44,,
Kaunas International Airport,Belgorod International Airport,262,Turkish Airlines,51,2449,3300,Monday Wednesday Sunday,22:29 21:43 10:19,,
Keflavik International Airport,Belgorod International Airport,122,Luxair,673,2014,1626,Tuesday Saturday,18:41 09:25 16:31,,
Keflavik International Airport,Belgorod International Airport,335,Aegean Airlines,751,2689,3031,Monday Wednesday Thursday Friday Sunday,17:45 01:51 13:37,,
Keflavik International Airport,Belgorod International Airport,99,Azerbaijan Airlines,627,903,3486,Monday Wednesday Saturday Sunday,22:15 21:40 02:25,,
Kiev Zhuliany International Airport,Belgorod International Airport,259,S7 Airlines,729,2361,1319,Tuesday Wednesday Thursday Sunday,10:26 00:24 11:52,,
Kiev Zhuliany International Airport,Belgorod International Airport,257,Azur Air,141,979,2105,Monday Wednesday Friday,15:15,,
Kiev Zhuliany International Airport,Belgorod International Airport,476,Wizz Air,225,1837,3074,Monday,11:50 02:50 11:10,,
Krasnodar Pashkovsky International Airport,Belgorod International Airport,72,SmartWings Group,905,1381,3488,Monday Wednesday Sunday,05:32 11:39,,
Krasnodar Pashkovsky International Airport,Belgorod International Airport,469,Red Wings Airlines,454,850,4186,Friday Sunday,20:08 17:46,,
Krasnodar Pashkovsky International Airport,Belgorod International Airport,415,Air Malta,650,2855,4496,Saturday,03:56 08:48 08:37,,
Krasnodar Pashkovsky International Airport,Belgorod International Airport,372,Blue Air,556,2405,2641,Monday Tuesday Thursday Saturday Sunday,06:56 23:27,,
Krasnodar Pashkovsky International Airport,Belgorod International Airport,182,EasyJet,183,1986,3566,Monday Wednesday Friday Sunday,13:17 10:12 05:56,,
Krasnodar Pashkovsky International Airport,Belgorod International Airport,510,Ukraine International Airlines,293,2322,2833,Tuesday Wednesday Friday Sunday,20:15 20:40,,
Kryvyi Rih International Airport,Belgorod International Airport,157,Air France-KLM,867,1280,2916,Monday Wednesday Thursday Sunday,11:46 11:50,,
Kryvyi Rih International Airport,Belgorod International Airport,413,SkyUp,536,845,4342,Wednesday Sunday,09:52 10:31,,
Kryvyi Rih International Airport,Belgorod International Airport,459,Air Europa,559,2842,2324,Wednesday Sunday,23:39,,
Kryvyi Rih International Airport,Belgorod International Airport,154,Croatia Airlines,903,2787,2439,Monday Tuesday Saturday Sunday,02:01 17:41 11:36,,
Kryvyi Rih International Airport,Belgorod International Airport,360,Smartavia,713,2500,3449,Wednesday Thursday Friday Sunday,13:07 10:57 20:49,,
Kryvyi Rih International Airport,Belgorod International Airport,67,TAROM,493,2817,2913,Monday Tuesday Wednesday Thursday Friday Saturday,16:53 19:30 21:48,,
Kryvyi Rih International Airport,Belgorod International Airport,358,TUI Airways,76,1757,1713,Monday Tuesday Wednesday,09:57 14:56 16:38,,
Kryvyi Rih International Airport,Belgorod International Airport,220,Turkish Airlines,792,712,2895,Saturday Sunday,22:04 05:50 23:55,,
Kryvyi Rih International Airport,Belgorod International Airport,337,Virgin Atlantic,862,1585,1777,Monday Tuesday Thursday Friday Sunday,06:02 13:53 12:18,,
Luhansk International Airport,Belgorod International Airport,265,Lufthansa Group,127,1269,1500,Sunday,06:02 02:27,,
Luhansk International Airport,Belgorod International Airport,300,Enter Air,213,1464,1835,Friday Sunday,03:31 11:10 20:04,,
Luhansk International Airport,Belgorod International Airport,349,LOT Polish Airlines,987,1759,3039,Monday Thursday Friday Saturday,11:21 22:18 03:38,,
Luhansk International Airport,Belgorod International Airport,315,Ryanair,223,805,4425,Monday Saturday,16:16 19:24 20:27,,
Luhansk International Airport,Belgorod International Airport,424,TAP Air Portugal,233,2905,3453,Friday,02:57 03:34 18:01,,
Luhansk International Airport,Belgorod International Airport,382,Virgin Atlantic,666,979,4045,Tuesday Thursday Sunday,04:52 20:38 19:50,,
Malpensa International Airport,Belgorod International Airport,61,Azur Air,506,739,4269,Tuesday Wednesday Thursday Saturday Sunday,04:50 12:36,,
Malpensa International Airport,Belgorod International Airport,412,Belavia,679,1038,4445,Monday Tuesday Thursday Friday Saturday Sunday,22:05 12:57 18:12,,
Malpensa International Airport,Belgorod International Airport,405,Lufthansa Group,52,2573,3676,Monday Wednesday Thursday Saturday Sunday,03:38 03:35 07:13,,
Malpensa International Airport,Belgorod International Airport,393,NordStar,312,2560,2052,Wednesday Friday Saturday Sunday,23:25 00:53,,
Malpensa International Airport,Belgorod International Airport,288,Pegas Fly,855,1203,3349,Friday Sunday,20:08 01:13 08:23,,
Malpensa International Airport,Belgorod International Airport,210,Red Wings Airlines,209,1403,4180,Wednesday Thursday Friday Sunday,07:41 04:17,,
Mihail Kogălniceanu International Airport,Belgorod International Airport,84,TUI Airways,560,1457,4211,Monday Thursday Saturday Sunday,11:58 22:39,,
Mihail Kogălniceanu International Airport,Belgorod International Airport,321,TAP Air Portugal,752,2583,3698,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,13:28 09:40 06:54,,
Mihail Kogălniceanu International Airport,Belgorod International Airport,426,Blue Air,398,2173,1880,Tuesday Wednesday Saturday Sunday,22:34 07:37 03:12,,
Mihail Kogălniceanu International Airport,Belgorod International Airport,105,Finnair,461,2583,1525,Monday Thursday Friday Saturday Sunday,14:23 15:17 20:07,,
Mihail Kogălniceanu International Airport,Belgorod International Airport,474,Ryanair,651,1161,2169,Monday Wednesday,23:45 21:28 23:11,,
Mihail Kogălniceanu International Airport,Belgorod International Airport,65,Ukraine International Airlines,486,1844,1726,Monday Tuesday Thursday Friday Sunday,00:00,,
Norwich International Airport,Belgorod International Airport,111,Air France-KLM,309,1279,3294,Monday Tuesday Thursday Saturday,01:23 05:08,,
Norwich International Airport,Belgorod International Airport,348,Air Malta,822,2512,2068,Tuesday Thursday Friday,22:40 01:36 20:22,,
Norwich International Airport,Belgorod International Airport,171,AirBaltic,717,2152,2933,Monday Thursday,16:57 08:18,,
Norwich International Airport,Belgorod International Airport,282,I-Fly,711,2169,4324,Monday Wednesday Saturday,11:37 21:19,,
Norwich International Airport,Belgorod International Airport,296,Norwegian Air Shuttle ASA,551,1678,2019,Monday Tuesday Wednesday Thursday Saturday,06:51 20:48 10:44,,
Norwich International Airport,Belgorod International Airport,383,Virgin Atlantic,129,2155,1863,Monday Tuesday Thursday,11:30 17:45 04:51,,
Oradea International Airport,Belgorod International Airport,244,TAP Air Portugal,315,1307,3924,Monday Tuesday Thursday Friday Saturday,06:58,,
Oradea International Airport,Belgorod International Airport,318,International Airlines Group,357,2860,4098,Wednesday,15:46 00:06,,
Oradea International Airport,Belgorod International Airport,116,LOT Polish Airlines,360,2575,2472,Monday,22:43 13:20 12:38,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,214,Aegean Airlines,133,1486,1860,Monday Thursday Friday,02:50 09:52,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,271,Jet2.com,653,2608,3005,Tuesday Wednesday Thursday Friday Saturday,23:50 00:10 15:47,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,433,Azur Air,733,2590,1659,Sunday,21:29 03:56,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,304,AirBaltic,802,2003,4373,Tuesday Friday Saturday,12:46 23:37,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,478,Enter Air,924,2161,1347,Monday Wednesday Thursday Saturday Sunday,20:21 04:49 00:18,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,254,Pegasus Airlines,722,1557,4270,Tuesday Wednesday Friday Sunday,09:12 05:22,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,276,Royal Flight,987,2111,1542,Tuesday Wednesday Thursday Friday Saturday Sunday,23:50 18:08 14:29,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,337,Sky Express,154,2057,2570,Monday Wednesday Saturday Sunday,08:43 22:23,,
Paris-Charles de Gaulle Airport,Belgorod International Airport,227,TAROM,953,871,4280,Wednesday Saturday Sunday,04:52 19:15 14:47,,
Priština International Airport,Belgorod International Airport,121,Windrose,495,746,4325,Monday Tuesday Thursday Friday Sunday,03:44 05:17,,
Priština International Airport,Belgorod International Airport,431,EasyJet,773,1327,4406,Monday Tuesday Wednesday Sunday,12:47 14:40 09:53,,
Priština International Airport,Belgorod International Airport,107,Aegean Airlines,546,1171,4310,Wednesday Friday Saturday,15:47 01:50 10:25,,
Priština International Airport,Belgorod International Airport,116,Air Europa,458,1848,1962,Monday Wednesday Thursday Friday Sunday,09:51 07:24 00:14,,
Priština International Airport,Belgorod International Airport,131,Air Malta,766,2627,3273,Monday Wednesday Saturday Sunday,12:19 02:25 01:08,,
Priština International Airport,Belgorod International Airport,369,Smartavia,337,1141,2147,Thursday Friday,04:17 05:11 13:44,,
Sarajevo International Airport,Belgorod International Airport,100,Luxair,160,2818,2105,Tuesday Sunday,21:57 23:29 18:53,,
Sarajevo International Airport,Belgorod International Airport,410,Air Malta,581,2630,4469,Friday Saturday Sunday,06:55 18:25 03:00,,
Sarajevo International Airport,Belgorod International Airport,375,LOT Polish Airlines,484,2693,3881,Monday Friday,19:38 03:11,,
Sármellék International Airport,Belgorod International Airport,171,Azerbaijan Airlines,122,2994,3883,Wednesday Saturday,16:33,,
Sármellék International Airport,Belgorod International Airport,295,International Airlines Group,800,1407,2954,Monday Friday,13:34,,
Sármellék International Airport,Belgorod International Airport,502,Air France-KLM,540,1270,2791,Tuesday Wednesday Friday Saturday Sunday,13:45 19:19 17:01,,
Sármellék International Airport,Belgorod International Airport,278,Air Malta,770,1954,2146,Monday Wednesday Saturday Sunday,04:19 22:26,,
Sármellék International Airport,Belgorod International Airport,191,I-Fly,954,1400,3955,Monday Thursday Friday Saturday,01:18 22:53 11:12,,
Sármellék International Airport,Belgorod International Airport,277,Red Wings Airlines,642,2715,1942,Wednesday Thursday Saturday Sunday,01:47 07:58,,
Sochi International Airport,Belgorod International Airport,441,Norwegian Air Shuttle ASA,496,2076,4162,Monday Thursday Friday,05:08 08:34,,
Sochi International Airport,Belgorod International Airport,501,Sky Express,785,1100,4448,Monday Friday Saturday Sunday,06:54 03:05 19:15,,
Sochi International Airport,Belgorod International Airport,491,Aeroflot Group,772,944,1364,Tuesday Wednesday Thursday,11:11 00:25 13:52,,
Sochi International Airport,Belgorod International Airport,459,Air Serbia,425,1981,3682,Monday Wednesday Saturday,03:41 00:27 18:10,,
Sochi International Airport,Belgorod International Airport,169,Azerbaijan Airlines,643,1865,1588,Monday Thursday Friday,15:53 18:52,,
Sochi International Airport,Belgorod International Airport,252,International Airlines Group,506,2097,1505,Monday Friday Saturday,07:26 02:04,,
Volgograd International Airport,Belgorod International Airport,122,Turkish Airlines,829,1088,2150,Saturday,00:06 13:22,,
Volgograd International Airport,Belgorod International Airport,497,S7 Airlines,596,1504,3313,Monday Friday,05:25 16:11 23:53,,
Volgograd International Airport,Belgorod International Airport,222,Azerbaijan Airlines,545,1540,2673,Monday Wednesday Thursday Friday,01:22 18:00,,
Volgograd International Airport,Belgorod International Airport,428,Enter Air,88,2427,3750,Monday Tuesday,18:05 00:43,,
Volgograd International Airport,Belgorod International Airport,268,I-Fly,111,1139,4234,Tuesday Thursday Friday Saturday Sunday,10:34 05:21 22:53,,
Volgograd International Airport,Belgorod International Airport,482,Royal Flight,985,903,3978,Monday Friday Saturday,22:10 17:34,,
Voronezh International Airport,Belgorod International Airport,209,Sky Express,271,1382,2721,Monday Tuesday Friday Saturday,09:58 03:41,,
Voronezh International Airport,Belgorod International Airport,368,TAROM,59,2539,3279,Monday Tuesday Thursday Friday Sunday,21:06 20:43 02:22,,
Voronezh International Airport,Belgorod International Airport,102,AirBaltic,808,2261,2842,Wednesday Saturday Sunday,13:07 08:01 14:25,,
Voronezh International Airport,Belgorod International Airport,230,EasyJet,55,1941,4404,Monday Wednesday Thursday Saturday Sunday,23:36 11:42 22:14,,
Voronezh International Airport,Belgorod International Airport,411,Lufthansa Group,560,1698,1918,Monday,03:14 20:04,,
Voronezh International Airport,Belgorod International Airport,115,Yamal Airlines,740,1113,2567,Saturday Sunday,09:06 17:47,,
Almería International Airport,Birmingham International Airport,119,Azur Air,908,1415,4320,Monday Tuesday Thursday Sunday,19:04 14:06 14:49,,
Almería International Airport,Birmingham International Airport,396,International Airlines Group,569,1946,4418,Monday Tuesday Wednesday Thursday Friday,01:03 06:41 07:21,,
Almería International Airport,Birmingham International Airport,425,Nordwind Airlines,327,2459,3939,Monday Tuesday Wednesday Saturday,07:46 19:34,,
Antwerp International Airport,Birmingham International Airport,351,I-Fly,413,1203,3488,Monday Thursday Saturday Sunday,17:54 08:12 15:23,,
Antwerp International Airport,Birmingham International Airport,253,SmartWings Group,580,1801,2779,Monday Wednesday Friday,08:29 02:07,,
Antwerp International Airport,Birmingham International Airport,231,TAROM,177,1501,2670,Tuesday Wednesday,03:29 20:21,,
Athens International Airport Eleftherios Venizelos,Birmingham International Airport,179,I-Fly,143,2138,3692,Tuesday Saturday Sunday,03:57 23:50 05:04,,
Athens International Airport Eleftherios Venizelos,Birmingham International Airport,435,Pegas Fly,373,1322,4400,Thursday Friday Saturday,12:19,,
Athens International Airport Eleftherios Venizelos,Birmingham International Airport,441,Aeroflot Group,579,2518,4433,Monday Wednesday Thursday Saturday Sunday,11:41 18:46 04:13,,
Athens International Airport Eleftherios Venizelos,Birmingham International Airport,118,Air Europa,589,817,2064,Monday Tuesday Wednesday Friday Saturday,11:19 04:50 16:21,,
Athens International Airport Eleftherios Venizelos,Birmingham International Airport,91,Nordwind Airlines,362,1964,1497,Monday Wednesday Thursday Saturday,23:19 16:57 03:21,,
Athens International Airport Eleftherios Venizelos,Birmingham International Airport,136,TAROM,988,1132,2461,Monday Wednesday,03:16 12:53 10:27,,
Băneasa International Airport,Birmingham International Airport,298,EasyJet,879,1457,1933,Monday Wednesday Thursday Friday Sunday,04:33 19:02 12:01,,
Băneasa International Airport,Birmingham International Airport,489,Enter Air,531,1278,1334,Sunday,04:20,,
Băneasa International Airport,Birmingham International Airport,468,Bulgaria Air,492,1680,2701,Friday Saturday Sunday,21:28 11:44,,
Băneasa International Airport,Birmingham International Airport,326,Jet2.com,780,2831,1746,Tuesday Thursday Friday,15:33 06:35 12:06,,
Băneasa International Airport,Birmingham International Airport,78,Royal Flight,489,1477,3316,Tuesday Thursday Saturday,06:29 09:45 03:56,,
Băneasa International Airport,Birmingham International Airport,118,SAS Group,727,2601,3185,Monday Wednesday Saturday,23:55 02:59,,
Boryspil International Airport,Birmingham International Airport,307,Pegas Fly,833,2907,2588,Monday Tuesday Saturday Sunday,09:18 00:03,,
Boryspil International Airport,Birmingham International Airport,388,Volotea,649,1211,2830,Thursday Friday Saturday Sunday,03:03 22:47,,
Boryspil International Airport,Birmingham International Airport,61,Aeroflot Group,553,1464,1638,Thursday Friday,03:15 23:52,,
Boryspil International Airport,Birmingham International Airport,238,Sky Express,122,2941,3219,Wednesday Thursday Saturday Sunday,03:22 21:01 05:15,,
Boryspil International Airport,Birmingham International Airport,278,SmartWings Group,705,2334,3931,Monday Tuesday Wednesday Thursday Friday Saturday,19:41 00:51 15:06,,
Boryspil International Airport,Birmingham International Airport,404,TAROM,457,2730,1978,Tuesday Friday,17:40 23:50 06:07,,
Cardiff International Airport,Birmingham International Airport,310,Ukraine International Airlines,633,1082,2264,Tuesday Friday Saturday,23:51 05:03,,
Cardiff International Airport,Birmingham International Airport,431,Pegasus Airlines,850,2599,3051,Tuesday Wednesday Saturday Sunday,12:44,,
Cardiff International Airport,Birmingham International Airport,484,Croatia Airlines,424,1667,3091,Tuesday Wednesday Thursday Friday Saturday Sunday,14:52 07:00 05:23,,
Cardiff International Airport,Birmingham International Airport,364,Norwegian Air Shuttle ASA,686,1817,4306,Monday Tuesday Wednesday Saturday,21:09 23:07 17:55,,
Cardiff International Airport,Birmingham International Airport,499,Smartavia,467,2257,3485,Monday Tuesday Thursday Saturday Sunday,21:52 05:30 21:21,,
Cardiff International Airport,Birmingham International Airport,509,Yamal Airlines,510,2814,2884,Monday Tuesday Wednesday Friday Saturday,23:39,,
Chania International Airport,Birmingham International Airport,88,Aeroflot Group,587,1388,3179,Wednesday Thursday Friday Sunday,17:22 16:08,,
Chania International Airport,Birmingham International Airport,318,Azimuth,973,1303,1737,Wednesday Thursday,23:33 01:28 16:16,,
Chania International Airport,Birmingham International Airport,354,Croatia Airlines,485,1591,1387,Monday Tuesday Wednesday Friday Sunday,09:09 23:45 07:44,,
Chania International Airport,Birmingham International Airport,312,LOT Polish Airlines,108,2239,2135,Monday Thursday,06:29 10:40 10:36,,
Chania International Airport,Birmingham International Airport,167,Norwegian Air Shuttle ASA,368,2248,3835,Monday Wednesday Thursday Friday Saturday Sunday,18:16 14:28 16:14,,
Chania International Airport,Birmingham International Airport,447,Pegas Fly,193,1535,3177,Tuesday Wednesday Sunday,16:00 22:37 17:45,,
Cluj-Napoca International Airport,Birmingham International Airport,72,Virgin Atlantic,528,1564,3534,Wednesday Thursday Friday Saturday Sunday,02:56 22:14,,
Cluj-Napoca International Airport,Birmingham International Airport,378,Royal Flight,372,1085,2424,Wednesday Thursday,13:38 22:16 17:28,,
Cluj-Napoca International Airport,Birmingham International Airport,60,Air France-KLM,835,1908,2373,Monday Saturday Sunday,13:13 01:55 02:44,,
Cluj-Napoca International Airport,Birmingham International Airport,386,Croatia Airlines,939,2578,3908,Monday Tuesday Thursday Friday Sunday,04:33 08:22 09:49,,
Cluj-Napoca International Airport,Birmingham International Airport,134,Jet2.com,951,2299,2973,Tuesday,21:15 04:47 02:34,,
Cluj-Napoca International Airport,Birmingham International Airport,488,TAP Air Portugal,160,1102,1917,Monday Tuesday Wednesday Thursday Saturday Sunday,11:33 21:22,,
Debrecen International Airport,Birmingham International Airport,85,Bulgaria Air,352,1224,3254,Monday Tuesday Saturday Sunday,02:52 03:25,,
Debrecen International Airport,Birmingham International Airport,230,Red Wings Airlines,148,712,2891,Monday Thursday Saturday,05:47 23:00,,
Debrecen International Airport,Birmingham International Airport,372,Blue Air,847,1101,3571,Monday Tuesday Wednesday Thursday,17:19 19:01 05:03,,
Debrecen International Airport,Birmingham International Airport,369,Pegasus Airlines,133,2326,3774,Monday Friday,22:16 06:12 10:22,,
Debrecen International Airport,Birmingham International Airport,380,Smartavia,209,2167,4089,Monday Tuesday Thursday Saturday,21:15 17:47 12:17,,
Debrecen International Airport,Birmingham International Airport,66,Volotea,854,794,3315,Monday Tuesday Wednesday,04:29 11:50 03:00,,
Domodedovo International Airport,Birmingham International Airport,166,Windrose,287,2389,2223,Tuesday Wednesday,05:00 16:40,,
Domodedovo International Airport,Birmingham International Airport,269,SmartWings Group,433,1124,2682,Monday Friday Saturday,00:44 15:33,,
Domodedovo International Airport,Birmingham International Airport,460,Aegean Airlines,884,1492,4193,Tuesday Wednesday Thursday Friday Saturday Sunday,02:58 16:31 03:20,,
Domodedovo International Airport,Birmingham International Airport,127,Finnair,372,2758,2228,Tuesday Wednesday Saturday Sunday,02:14 04:25 15:32,,
Domodedovo International Airport,Birmingham International Airport,240,Ukraine International Airlines,488,1756,3576,Tuesday Wednesday Thursday Sunday,09:06 18:45,,
Domodedovo International Airport,Birmingham International Airport,279,Volotea,448,1522,3161,Monday Friday Saturday Sunday,09:04 15:35 17:08,,
Federico Fellini International Airport,Birmingham International Airport,353,International Airlines Group,656,1152,4093,Wednesday Thursday,06:10 04:28 23:32,,
Federico Fellini International Airport,Birmingham International Airport,505,I-Fly,837,2812,3158,Friday,10:42 06:01,,
Federico Fellini International Airport,Birmingham International Airport,301,Azimuth,445,1302,3397,Monday Wednesday Thursday Friday,00:03 11:27 12:42,,
Federico Fellini International Airport,Birmingham International Airport,484,Finnair,183,1407,4207,Friday Saturday,04:48 01:16 01:19,,
Federico Fellini International Airport,Birmingham International Airport,386,Sky Express,916,2701,3203,Monday Tuesday Wednesday Friday Sunday,15:34 19:42 23:04,,
Federico Fellini International Airport,Birmingham International Airport,493,Windrose,832,1410,3395,Wednesday Saturday Sunday,08:49 06:24,,
Ioannis Kapodistrias International Airport,Birmingham International Airport,322,S7 Airlines,332,1014,3985,Wednesday Sunday,13:08 07:12,,
Ioannis Kapodistrias International Airport,Birmingham International Airport,347,Azur Air,178,2676,2340,Tuesday Wednesday Saturday Sunday,20:25 23:54 10:30,,
Ioannis Kapodistrias International Airport,Birmingham International Airport,297,SAS Group,891,2250,2599,Monday Tuesday Thursday Friday Sunday,18:56 19:23 19:51,,
Karlovy Vary International Airport,Birmingham International Airport,297,Air Malta,63,1463,3674,Thursday,05:25 16:27,,
Karlovy Vary International Airport,Birmingham International Airport,439,Azur Air,447,894,4268,Tuesday Thursday Friday Saturday,02:11 04:29,,
Karlovy Vary International Airport,Birmingham International Airport,330,Air Serbia,64,761,2352,Monday Tuesday Thursday,18:27 16:12 19:04,,
Karlovy Vary International Airport,Birmingham International Airport,192,Finnair,660,2756,3190,Monday Wednesday Saturday,09:35 03:14 06:55,,
Karlovy Vary International Airport,Birmingham International Airport,87,NordStar,184,2882,4241,Friday Saturday,13:43 18:52 22:04,,
Karlovy Vary International Airport,Birmingham International Airport,276,Volotea,707,2208,4429,Tuesday Saturday Sunday,16:32 03:06,,
Kaunas International Airport,Birmingham International Airport,190,Azimuth,583,1310,1607,Tuesday Wednesday Thursday,23:25,,
Kaunas International Airport,Birmingham International Airport,371,Virgin Atlantic,185,1695,2135,Monday Wednesday Saturday Sunday,23:00,,
Kaunas International Airport,Birmingham International Airport,75,Air France-KLM,376,2747,2449,Tuesday Wednesday Friday Saturday,14:17 17:38 15:11,,
Kaunas International Airport,Birmingham International Airport,235,Finnair,604,1042,2024,Monday Tuesday Friday Saturday,23:37 13:38 07:48,,
Kaunas International Airport,Birmingham International Airport,426,Pegasus Airlines,841,2914,4433,Monday Tuesday Saturday,19:36 08:23,,
Kaunas International Airport,Birmingham International Airport,285,Volotea,266,2663,4450,Tuesday Thursday,13:28 12:10 21:44,,
Krasnodar Pashkovsky International Airport,Birmingham International Airport,208,Royal Flight,918,1482,3944,Monday Tuesday Wednesday Thursday Friday Saturday,02:13 08:35 05:51,,
Krasnodar Pashkovsky International Airport,Birmingham International Airport,346,Yamal Airlines,259,1153,3605,Monday Tuesday Wednesday Thursday Saturday,22:08 17:38 04:16,,
Krasnodar Pashkovsky International Airport,Birmingham International Airport,93,LOT Polish Airlines,409,2625,4094,Wednesday Thursday Friday Saturday,17:23 02:54 17:00,,
Krasnodar Pashkovsky International Airport,Birmingham International Airport,64,S7 Airlines,686,2207,4196,Monday Tuesday Thursday Friday,02:53 08:21 00:54,,
Krasnodar Pashkovsky International Airport,Birmingham International Airport,326,Sky Express,380,2178,1319,Monday Wednesday Thursday Friday,01:36 02:52 03:38,,
Krasnodar Pashkovsky International Airport,Birmingham International Airport,452,TUI Airways,199,1414,2461,Tuesday Friday Saturday,11:44,,
Kryvyi Rih International Airport,Birmingham International Airport,390,LOT Polish Airlines,322,1486,2301,Monday Friday Saturday Sunday,04:29 00:01 00:18,,
Kryvyi Rih International Airport,Birmingham International Airport,496,Bulgaria Air,782,837,4202,Monday Sunday,10:02 02:10,,
Kryvyi Rih International Airport,Birmingham International Airport,156,Air Europa,643,1783,2502,Tuesday Friday,16:40 23:03 07:46,,
Kryvyi Rih International Airport,Birmingham International Airport,363,Air France-KLM,916,2803,1893,Monday Tuesday Wednesday Sunday,05:06 11:10 21:00,,
Kryvyi Rih International Airport,Birmingham International Airport,63,Nordwind Airlines,907,927,1811,Tuesday Thursday Friday Saturday Sunday,06:55 03:43,,
Kryvyi Rih International Airport,Birmingham International Airport,369,TAROM,397,1555,2373,Saturday,09:55 21:50 03:16,,
Mărculeşti International Airport,Birmingham International Airport,160,UTair Aviation,556,1111,3841,Monday Wednesday Thursday,10:56 15:23 08:25,,
Mărculeşti International Airport,Birmingham International Airport,444,Azur Air,706,1012,3478,Tuesday Wednesday Friday Saturday Sunday,21:27 16:20,,
Mărculeşti International Airport,Birmingham International Airport,102,Air Astana,530,1854,1427,Tuesday Wednesday Thursday Friday Sunday,18:46 10:10 18:43,,
Mărculeşti International Airport,Birmingham International Airport,340,EasyJet,185,2217,4219,Tuesday Thursday Sunday,18:21 00:07 00:04,,
Mărculeşti International Airport,Birmingham International Airport,372,S7 Airlines,733,2866,2704,Tuesday Thursday Sunday,19:30,,
